epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
0.318071041,0.000,R,42177,488,6,22,2,271179776,173944832,73850880,-nan,-nan,0,0,0,0,0,0,0,0,
5.319349154,8.398,S,139032,5882,57,177,2,459898880,378466304,73850880,3275.96,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
10.320284745,8.598,D,231606,11045,114,354,2,614313984,532103168,73850880,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
15.321309604,6.999,D,306568,15216,156,497,2,768626688,685740032,73850880,0.00,0.00,241664,184320,32,21,11776000,11538432,8192,8188,
20.322292838,7.599,R,394743,20131,204,665,2,939716608,856166400,73850880,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
25.323116960,8.599,D,487340,25284,256,826,2,1111441408,1027145728,73064448,12285.98,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
30.323930098,8.599,R,584103,30464,309,998,2,1300041728,1197862912,72802304,29486.41,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
35.324762230,7.999,R,670775,35358,353,1161,2,1454354432,1362436096,72540160,72896.67,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
40.325566519,7.599,R,756057,40055,406,1316,2,1608667136,1506684928,72540160,18019.50,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
45.326315458,7.199,R,831992,44448,450,1459,2,1745838080,1644703744,72540160,819.08,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
50.326939297,7.799,D,919423,49358,492,1637,2,1900253184,1812451328,72540160,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
55.327798145,8.199,S,1012027,54511,545,1819,2,2088755200,2000236544,72540160,819.06,0.00,241664,172032,32,21,11776000,11530240,8192,8188,
60.328767216,8.798,D,1104626,59669,594,1985,2,2260316160,2170986496,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
65.329853781,7.598,R,1192548,64341,644,2156,2,2414628864,2324615168,72278016,819.02,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
70.330892228,8.198,D,1280979,69494,690,2338,2,2585985024,2495307776,72278016,0.00,0.00,241664,196608,32,21,11776000,11550720,8192,8188,
75.331974093,8.198,R,1373415,74498,739,2521,2,2774585344,2672164864,72278016,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
