epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,
0.189041527,0.000,R,34519,66,3,14,2,227135488,144408576,0,-nan,-nan,0,0,0,0,0,0,0,0,
5.191680131,77.559,S,154230,6799,62,214,2,459067392,371613696,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
10.192605897,75.186,R,268778,13274,130,411,2,680882176,583073792,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
15.193209289,64.792,R,368402,18875,193,616,2,880615424,774807552,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
20.193863074,58.392,S,457782,23951,244,815,2,1050861568,940797952,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
25.194593845,66.790,R,559960,29708,297,1021,2,1252950016,1132879872,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
30.195288460,67.991,R,663994,35573,351,1228,2,1454886912,1327857664,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
35.195938756,68.791,S,769282,41554,420,1424,2,1657450496,1524191232,0,0.00,0.00,241664,167936,32,21,2048000,1978368,256,245,
40.196543377,62.392,R,864713,46919,479,1616,2,1842384896,1702039552,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
45.197572478,69.386,R,970629,52932,539,1804,2,2049617920,1901277184,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
50.198076057,74.992,S,1085701,59423,596,2003,2,2278834176,2121818112,0,0.00,0.00,241664,176128,32,21,2048000,1986560,256,245,
55.198696146,68.392,R,1189899,65299,656,2210,2,2485854208,2319183872,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
60.199310453,58.393,R,1279317,70366,712,2406,2,2651062272,2478489600,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
65.200204574,67.588,S,1383089,76250,768,2607,2,2848436224,2669625344,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
70.200930584,73.589,R,1495375,82577,824,2808,2,3070251008,2881757184,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
75.201449163,72.792,S,1607087,88902,881,3016,2,3287351296,3091767296,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
80.201988182,72.792,R,1718440,95211,941,3219,2,3496943616,3293319168,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
85.202568843,63.993,S,1816349,100746,1002,3421,2,3686809600,3475902464,0,0.00,0.00,241664,172032,32,21,2048000,1982464,256,245,
90.203118551,73.192,S,1928308,107092,1055,3618,2,3896401920,3677458432,0,0.00,0.00,241664,176128,32,21,2048000,1986560,256,245,
95.203536770,65.195,S,2028059,112733,1119,3811,2,4088737792,3862450176,0,0.00,0.00,241664,167936,32,21,2048000,1978368,256,245,
100.204301627,82.787,S,2154723,119897,1179,3994,2,4332851200,4097204224,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
105.204733171,75.194,R,2269723,126381,1239,4198,2,4549844992,4305915904,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
110.205159005,69.594,S,2376243,132431,1303,4393,2,4756971520,4505104384,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
115.205853286,66.791,S,2478429,138210,1371,4592,2,4954234880,4694798336,0,0.00,0.00,241664,167936,32,21,2048000,1978368,256,245,
120.206419283,60.793,R,2570809,143447,1432,4801,2,5126942720,4860788736,0,0.00,0.00,241664,172032,32,21,2048000,1982464,256,245,
125.207166892,60.391,R,2663550,148685,1499,5012,2,5301809152,5028151296,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
130.207889369,59.991,S,2755609,153901,1557,5224,2,5481918464,5202284544,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
135.208389037,63.594,S,2852913,159399,1612,5433,2,5671886848,5384876032,0,0.00,0.00,241664,163840,32,20,2048000,1970176,256,244,
140.209043934,65.591,S,2953275,165077,1684,5637,2,5864120320,5569880064,0,0.00,0.00,241664,167936,32,21,2048000,1974272,256,245,
145.209682200,65.592,R,3053635,170750,1745,5835,2,6058917888,5757222912,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
150.210351688,74.390,R,3167414,177161,1803,6034,2,6280732672,5968613376,0,0.00,0.00,241664,176128,32,21,2048000,1982464,256,245,
155.210965168,74.791,S,3281884,183661,1874,6228,2,6497832960,6179352576,0,0.00,0.00,241664,188416,32,20,2048000,1994752,256,244,
160.211537378,70.792,R,3390073,189758,1938,6439,2,6704857088,6378061824,0,0.00,0.00,241664,221184,32,21,2048000,2023424,256,245,
165.213479738,69.173,R,3495566,195740,1998,6647,2,6911979520,6575763456,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
170.213994815,67.193,S,3598864,201587,2063,6842,2,7109353472,6767472640,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
175.214656942,66.791,R,3701025,207343,2128,7041,2,7308976128,6957178880,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
180.215267886,67.592,R,3804442,213177,2186,7239,2,7510908928,7151628288,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
185.215906078,68.391,S,3909160,219111,2247,7441,2,7718408192,7353245696,0,0.00,0.00,241664,167936,32,20,2048000,1974272,256,244,
190.216506229,70.392,S,4016860,225198,2306,7644,2,7928000512,7554805760,0,0.00,0.00,241664,159744,32,20,2048000,1970176,256,244,
195.217131472,67.992,S,4120894,231078,2362,7851,2,8130195456,7749267456,0,0.00,0.00,241664,233472,32,21,2048000,2039808,256,245,
200.217720506,69.992,R,4227704,237101,2417,8056,2,8337326080,7947472896,0,0.00,0.00,241664,172032,32,20,2048000,1978368,256,244,
205.218256176,69.993,R,4334544,243146,2477,8253,2,8549384192,8150073344,0,0.00,0.00,241664,163840,32,20,2048000,1974272,256,244,
210.218797517,70.592,R,4442778,249280,2532,8456,2,8751681536,8346890240,0,0.00,0.00,241664,229376,32,20,2048000,2035712,256,244,
