epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,nilfs2_capacity,nilfs2_free,nilfs2_inodes,nilfs2_ifree,
1.172914732,0.000,R,102883,3860,26,88,2,623517696,408715264,0,-nan,-nan,0,0,0,0,0,0,0,0,
6.174560841,2.399,R,345228,16495,132,403,2,1161990144,1018417152,0,0.00,0.00,241664,233472,32,21,134213632,133890048,33554432,33554430,
11.175702110,3.199,R,620316,30898,241,688,2,1700352000,1610604544,0,0.00,0.00,241664,233472,32,21,134213632,133562368,33554432,33554430,
16.176494480,2.400,R,832495,44031,352,991,2,2104123392,1993760768,0,0.00,0.00,241664,233472,32,21,134213632,133365760,33554432,33554430,
21.177693329,2.799,R,1065786,56010,461,1286,2,2507894784,2391064576,0,0.00,0.00,241664,233472,32,21,134213632,133169152,33554432,33554430,
26.178644917,2.400,R,1266753,67599,558,1600,2,2911666176,2763264000,0,0.00,0.00,241664,233472,32,21,134213632,132972544,33554432,33554430,
31.179826805,2.799,R,1508809,81121,667,1896,2,3315441664,3161399296,0,0.00,0.00,241664,184320,32,21,134213632,132710400,33554432,33554430,
36.180678680,2.400,S,1736858,94644,784,2201,2,3584724992,3502198784,0,0.00,0.00,241664,184320,32,21,134213632,132579328,33554432,33554430,
41.181321766,2.800,R,1974711,106234,891,2502,2,4122980352,4025470976,0,0.00,0.00,241664,233472,32,21,134213632,132317184,33554432,33554430,
46.182051619,2.400,R,2186897,117832,1000,2812,2,4257677312,4174749696,0,0.00,0.00,241664,233472,32,21,134213632,132186112,33554432,33554430,
51.183119367,2.999,D,2432199,133284,1112,3096,2,4661379072,4578271232,0,0.00,0.00,241664,229376,32,20,134213632,132055040,33554432,33554429,
56.183660103,2.600,R,2640798,144873,1217,3402,2,5065150464,4981760000,0,0.00,0.00,241664,229376,32,20,134213632,131792896,33554432,33554429,
61.184364448,2.400,R,2884165,158396,1326,3707,2,5603143680,5421674496,0,0.00,0.00,241664,229376,32,20,134213632,131530752,33554432,33554429,
66.185234346,2.800,R,3125694,170079,1423,4012,2,6141767680,5928611840,0,0.00,0.00,241664,167936,32,20,134213632,131268608,33554432,33554429,
71.186224714,2.400,S,3336137,183503,1541,4306,2,6411055104,6326743040,0,0.00,0.00,241664,167936,32,20,134213632,131072000,33554432,33554429,
76.187003265,2.800,R,3577565,195097,1641,4610,2,6814826496,6730231808,0,0.00,0.00,241664,229376,32,20,134213632,130809856,33554432,33554429,
81.187806456,2.400,R,3786203,206726,1738,4929,2,7353081856,7135248384,0,0.00,0.00,241664,229376,32,20,134213632,130613248,33554432,33554429,
86.188682654,2.400,R,3996692,220202,1849,5235,2,7756853248,7670480896,0,0.00,0.00,241664,229376,32,20,134213632,130351104,33554432,33554429,
91.189882379,2.799,R,4238886,232548,1959,5508,2,8295215104,8126509056,0,0.00,0.00,241664,163840,32,20,134213632,130088960,33554432,33554429,
96.190940720,2.399,R,4447626,244274,2062,5823,2,8698986496,8540721152,0,0.00,0.00,241664,163840,32,20,134213632,129892352,33554432,33554429,
101.191821464,2.400,R,4655327,254976,2169,6133,2,8833683456,8747675648,0,0.00,0.00,241664,163840,32,20,134213632,129695744,33554432,33554429,
106.192620347,2.400,R,4835169,266561,2271,6444,2,9371938816,9167785984,0,0.00,0.00,241664,229376,32,20,134213632,129499136,33554432,33554429,
