epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext2_capacity,ext2_free,ext2_inodes,ext2_ifree,xfs_capacity,xfs_free,xfs_inodes,xfs_ifree,
0.374800193,0.000,R,42129,488,6,28,2,271183872,173678592,52477952,-nan,-nan,0,0,0,0,0,0,0,0,
5.376087291,7.798,D,130209,5394,48,187,2,442757120,361402368,52477952,0.00,0.00,241664,184320,32,21,11776000,11538432,8192,8188,
10.377152014,7.398,S,213991,10061,89,337,2,597172224,515084288,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
15.377922501,7.999,S,302152,14976,135,512,2,751484928,668680192,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
20.378703419,5.599,D,359481,18165,163,624,2,871505920,788176896,52477952,0.00,0.00,241664,188416,32,21,11776000,11542528,8192,8188,
25.379278048,5.799,D,425614,21850,200,756,2,991526912,907677696,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
30.380201406,5.599,D,487351,25287,236,872,2,1111547904,1027198976,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
35.380976136,5.399,S,549078,28724,260,989,2,1231466496,1146679296,52477952,0.00,0.00,241664,167936,32,21,11776000,11526144,8192,8188,
40.381842159,5.799,D,610809,32161,301,1102,2,1351487488,1266184192,52477952,0.00,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
45.383656048,5.798,D,672539,35598,335,1226,2,1471610880,1385676800,52477952,3275.61,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
50.384409369,5.599,R,738644,39270,366,1341,2,1608671232,1520455680,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
55.385218059,6.199,D,804792,42968,405,1449,2,1711550464,1624616960,52477952,0.00,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
60.386015207,5.599,D,866506,46410,438,1589,2,1814528000,1727029248,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
65.386903224,4.599,R,919233,49180,464,1691,2,1934340096,1833893888,52477952,0.00,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
70.387809834,5.999,D,981152,52793,495,1821,2,2037424128,1948962816,52477952,2457.15,0.00,241664,163840,32,21,11776000,11522048,8192,8188,
75.388979082,5.999,R,1050486,56479,529,1949,2,2174484480,2081447936,52477952,819.01,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
80.389808102,4.999,D,1104611,59672,566,2071,2,2260320256,2170912768,52477952,0.00,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
85.390578947,5.999,D,1170749,63357,602,2207,2,2380341248,2290442240,52477952,1638.15,0.00,241664,233472,32,21,11776000,11587584,8192,8188,
