epoch,fsops_rate,proc_state,minor_flt,major_flt,utime,ktime,num_threads,vmem_sz,pmem_sz,swap_bytes_used,swap_sdb1_bytes_read,swap_sdb1_bytes_written,ext4_capacity,ext4_free,ext4_inodes,ext4_ifree,nilfs2_capacity,nilfs2_free,nilfs2_inodes,nilfs2_ifree,
0.811724907,0.000,R,102867,3860,26,51,2,623517696,408723456,52477952,-nan,-nan,0,0,0,0,0,0,0,0,
5.812517057,2.400,S,346119,17379,137,341,2,1027506176,946442240,52477952,0.00,0.00,241664,233472,32,21,134213632,133890048,33554432,33554430,
10.813122364,2.800,D,554735,28968,234,626,2,1431277568,1349992448,52477952,0.00,0.00,241664,233472,32,21,134213632,133693440,33554432,33554430,
15.814065316,2.000,R,762569,39787,330,921,2,1969532928,1833197568,52477952,0.00,0.00,241664,233472,32,21,134213632,133431296,33554432,33554430,
20.814936215,2.400,R,964765,50217,430,1216,2,2238717952,2135547904,52477952,0.00,0.00,241664,192512,32,21,134213632,133365760,33554432,33554430,
25.815818581,2.000,R,1144617,60631,531,1527,2,2642485248,2478194688,52477952,0.00,0.00,241664,233472,32,21,134213632,133169152,33554432,33554430,
30.816730710,2.400,R,1352477,71466,629,1815,2,2911772672,2829660160,52477952,3276.20,0.00,241664,233472,32,21,134213632,132907008,33554432,33554430,
35.817549925,2.400,R,1530057,83051,727,2109,2,3450028032,3240538112,52477952,0.00,0.00,241664,233472,32,21,134213632,132644864,33554432,33554430,
40.818377813,2.000,S,1736882,94639,826,2422,2,3719213056,3636776960,52477952,0.00,0.00,241664,184320,32,21,134213632,132448256,33554432,33554430,
45.818944775,2.400,R,1943812,104552,932,2705,2,4257468416,4057862144,52477952,0.00,0.00,241664,184320,32,21,134213632,132251648,33554432,33554430,
50.819689903,2.400,D,2119340,115888,1028,3023,2,4392267776,4309360640,52477952,0.00,0.00,241664,233472,32,21,134213632,131989504,33554432,33554430,
55.820448045,2.200,D,2327952,127477,1121,3336,2,4796039168,4712910848,52477952,2457.23,0.00,241664,233472,32,21,134213632,131727360,33554432,33554430,
60.821238892,2.200,R,2535596,138106,1214,3644,2,5334294528,5183840256,52477952,819.07,0.00,241664,233472,32,21,134213632,131530752,33554432,33554430,
65.821854698,2.000,S,2710416,148721,1313,3955,2,5603479552,5519990784,52477952,1638.20,0.00,241664,180224,32,21,134213632,131334144,33554432,33554430,
70.822651281,2.400,R,2917807,159100,1408,4263,2,6141734912,5973266432,52477952,0.00,0.00,241664,180224,32,21,134213632,131072000,33554432,33554430,
75.823334341,2.400,R,3127336,171606,1510,4554,2,6545506304,6439624704,52477952,0.00,0.00,241664,180224,32,21,134213632,130875392,33554432,33554430,
80.824369207,2.400,R,3334304,181564,1608,4851,2,6680305664,6596091904,52477952,2457.09,0.00,241664,233472,32,21,134213632,130678784,33554432,33554430,
85.825442417,2.399,R,3543587,193826,1704,5149,2,7218561024,7045586944,52477952,0.00,0.00,241664,233472,32,21,134213632,130482176,33554432,33554430,
90.826687547,2.399,R,3751530,204742,1809,5434,2,7487848448,7403175936,52477952,0.00,0.00,241664,233472,32,21,134213632,130220032,33554432,33554430,
95.827757735,2.399,D,3927312,216326,1890,5748,2,7891619840,7806709760,52477952,1638.05,0.00,241664,180224,32,21,134213632,130023424,33554432,33554430,
